Num,PlanCode,Channel,FA,Unknown,Gender,IssAge,PremMode,WL,PP,Unknown
10000270,57,FC,88000000,0,1,55,12,999,0,1
10000271,57,FC,87000000,0,1,32,12,999,0,1
10000272,57,FC,87000000,0,2,39,12,999,0,1
10000273,57,FC,87000000,0,2,39,12,999,0,1
10000274,57,FC,87000000,0,2,39,12,999,0,1
10000275,57,FC,86000000,0,1,46,12,999,0,1
10000276,57,FC,86000000,0,1,59,12,999,0,1
10000277,57,FC,84000000,0,1,51,12,999,0,1
10000278,57,TFC,83000000,0,2,33,12,999,0,1
10000279,57,FC,83000000,0,2,35,12,999,0,1
10000280,57,FC,83000000,0,2,40,12,999,0,1
10000281,57,FC,83000000,0,1,47,12,999,0,1
10000282,57,FC,83000000,0,2,54,12,999,0,1
10000283,57,FC,82000000,0,1,34,12,999,0,1
10000284,57,FC,82000000,0,2,41,12,999,0,1
10000285,57,FC,82000000,0,2,52,12,999,0,1
10000286,57,FC,81000000,0,1,48,12,999,0,1
10000287,57,FC,80000000,0,1,35,12,999,0,1
10000288,57,FC,80000000,0,2,36,12,999,0,1
10000289,57,FC,80000000,0,2,42,12,999,0,1
10000290,57,FC,80000000,0,2,55,12,999,0,1
10000291,57,FC,80000000,0,2,56,12,999,0,1
10000292,57,FC,79000000,0,1,52,12,999,0,1
10000293,57,FC,78000000,0,1,30,12,999,0,1
10000294,57,FC,78000000,0,2,39,12,999,0,1
10000295,57,FC,78000000,0,1,43,12,999,0,1
10000296,57,FC,78000000,0,2,56,12,999,0,1
10000297,57,FC,77000000,0,2,31,12,999,0,1
10000298,57,FC,77000000,0,2,43,12,999,0,1
10000299,57,FC,77000000,0,2,43,12,999,0,1
10000300,57,FC,76000000,0,2,36,12,999,0,1
10000301,57,FC,76000000,0,2,56,12,999,0,1
10000302,57,FC,75000000,0,2,27,12,999,0,1
10000303,57,FC,75000000,0,1,33,12,999,0,1
10000304,57,FC,75000000,0,1,37,12,999,0,1
10000305,57,FC,75000000,0,2,37,12,999,0,1
10000306,57,FC,75000000,0,2,44,12,999,0,1
10000307,57,TFC,75000000,0,2,44,12,999,0,1
10000308,57,FC,75000000,0,2,50,12,999,0,1
10000309,57,FC,74000000,0,2,30,12,999,0,1
10000310,57,FC,74000000,0,2,35,12,999,0,1
10000311,57,FC,74000000,0,2,59,12,999,0,1
10000312,57,FC,73000000,0,2,33,12,999,0,1
10000313,57,FC,73000000,0,2,38,12,999,0,1
10000314,57,FC,73000000,0,2,44,12,999,0,1
10000315,57,FC,73000000,0,2,45,12,999,0,1
10000316,57,FC,72000000,0,1,15,12,999,0,1
10000317,57,TFC,72000000,0,2,31,12,999,0,1
10000318,57,FC,72000000,0,1,38,12,999,0,1
10000319,57,FC,72000000,0,2,45,12,999,0,1
10000320,57,FC,72000000,0,1,52,12,999,0,1
10000321,57,FC,72000000,0,1,52,12,999,0,1
10000322,57,FC,72000000,0,2,59,12,999,0,1
10000323,57,FC,71000000,0,2,23,12,999,0,1
10000324,57,FC,71000000,0,1,35,12,999,0,1
10000325,57,FC,71000000,0,1,37,12,999,0,1
10000326,57,FC,71000000,0,2,47,12,999,0,1
10000327,57,FC,71000000,0,1,57,12,999,0,1
10000328,57,FC,70000000,0,1,16,12,999,0,1
10000329,57,FC,70000000,0,2,22,12,999,0,1
10000330,57,FC,70000000,0,2,23,12,999,0,1
10000331,57,FC,70000000,0,2,30,12,999,0,1
10000332,57,FC,70000000,0,2,36,12,999,0,1
10000333,57,AM,70000000,0,1,40,12,999,0,1
10000334,57,FC,70000000,0,2,41,12,999,0,1
10000335,57,FC,70000000,0,2,42,12,999,0,1
10000336,57,FC,70000000,0,1,46,12,999,0,1
10000337,57,FC,70000000,0,1,46,12,999,0,1
10000338,57,TFC,70000000,0,2,46,12,999,0,1
10000339,57,FC,70000000,0,1,47,12,999,0,1
10000340,57,FC,70000000,0,2,48,12,999,0,1
10000341,57,FC,70000000,0,2,50,12,999,0,1
10000342,57,FC,70000000,0,2,51,12,999,0,1
10000343,57,FC,70000000,0,2,51,12,999,0,1
10000344,57,FC,70000000,0,2,59,12,999,0,1
10000345,57,FC,70000000,0,2,60,12,999,0,1
10000346,57,FC,69000000,0,1,36,12,999,0,1
10000347,57,FC,69000000,0,2,37,12,999,0,1
10000348,57,FC,69000000,0,2,37,12,999,0,1
10000349,57,FC,69000000,0,2,37,12,999,0,1
10000350,57,FC,69000000,0,2,47,12,999,0,1
10000351,57,FC,68000000,0,1,40,12,999,0,1
10000352,57,FC,68000000,0,2,44,12,999,0,1
10000353,57,FC,68000000,0,2,47,12,999,0,1
10000354,57,TFC,67000000,0,2,25,12,999,0,1
10000355,57,FC,66000000,0,1,18,12,999,0,1
10000356,57,FC,66000000,0,1,41,12,999,0,1
10000357,57,FC,66000000,0,2,43,12,999,0,1
10000358,57,FC,66000000,0,2,48,12,999,0,1
10000359,57,FC,65000000,0,2,15,12,999,0,1
10000360,57,FC,65000000,0,1,30,12,999,0,1
10000361,57,FC,65000000,0,2,32,12,999,0,1
10000362,57,FC,65000000,0,1,44,12,999,0,1
10000363,57,FC,65000000,0,2,49,12,999,0,1
10000364,57,FC,65000000,0,1,56,12,999,0,1
10000365,57,FC,65000000,0,1,56,12,999,0,1
10000366,57,FC,65000000,0,2,56,12,999,0,1
10000367,57,FC,64000000,0,1,19,12,999,0,1
10000368,57,FC,64000000,0,1,42,12,999,0,1
10000369,57,FC,64000000,0,1,42,12,999,0,1
10000370,57,FC,64000000,0,2,49,12,999,0,1
10000371,57,TFC,64000000,0,2,49,12,999,0,1
10000372,57,FC,64000000,0,2,51,12,999,0,1
10000373,57,FC,63000000,0,1,16,12,999,0,1
10000374,57,FC,63000000,0,2,27,12,999,0,1
10000375,57,FC,63000000,0,2,38,12,999,0,1
10000376,57,FC,63000000,0,2,39,12,999,0,1
10000377,57,FC,63000000,0,1,50,12,999,0,1
10000378,57,FC,63000000,0,2,50,12,999,0,1
10000379,57,FC,62000000,0,2,24,12,999,0,1
10000380,57,FC,62000000,0,1,34,12,999,0,1
10000381,57,FC,61000000,0,2,41,12,999,0,1
10000382,57,FC,61000000,0,1,44,12,999,0,1
10000383,57,FC,61000000,0,2,51,12,999,0,1
10000384,57,FC,61000000,0,1,58,12,999,0,1
10000385,57,FC,60000000,0,1,20,12,999,0,1
10000386,57,FC,60000000,0,1,22,12,999,0,1
10000387,57,FC,60000000,0,2,24,12,999,0,1
10000388,57,FC,60000000,0,2,37,12,999,0,1
10000389,57,FC,60000000,0,1,44,12,999,0,1
10000390,57,FC,60000000,0,2,51,12,999,0,1
10000391,57,TFC,59000000,0,2,32,12,999,0,1
10000392,57,FC,59000000,0,1,35,12,999,0,1
10000393,57,FC,59000000,0,1,45,12,999,0,1
10000394,57,FC,59000000,0,1,46,12,999,0,1
10000395,57,FC,58000000,0,1,41,12,999,0,1
10000396,57,FC,58000000,0,2,43,12,999,0,1
10000397,57,FC,58000000,0,1,60,12,999,0,1
10000398,57,FC,58000000,0,2,60,12,999,0,1
10000399,57,FC,57000000,0,1,22,12,999,0,1
10000400,57,FC,57000000,0,2,30,12,999,0,1
10000401,57,FC,57000000,0,2,41,12,999,0,1
10000402,57,FC,57000000,0,1,46,12,999,0,1
10000403,57,FC,57000000,0,1,46,12,999,0,1
10000404,57,FC,57000000,0,2,57,12,999,0,1
10000405,57,TFC,57000000,0,2,58,12,999,0,1
10000406,57,FC,56000000,0,2,31,12,999,0,1
10000407,57,FC,56000000,0,1,35,12,999,0,1
10000408,57,FC,56000000,0,2,44,12,999,0,1
10000409,57,FC,56000000,0,1,47,12,999,0,1
10000410,57,TFC,56000000,0,2,51,12,999,0,1
10000411,57,FC,55000000,0,1,21,12,999,0,1
10000412,57,FC,55000000,0,1,24,12,999,0,1
10000413,57,FC,55000000,0,1,27,12,999,0,1
10000414,57,FC,55000000,0,2,31,12,999,0,1
10000415,57,FC,55000000,0,2,35,12,999,0,1
10000416,57,FC,55000000,0,1,43,12,999,0,1
10000417,57,FC,55000000,0,1,47,12,999,0,1
10000418,57,FC,55000000,0,2,55,12,999,0,1
10000419,57,TFC,54000000,0,1,28,12,999,0,1
10000420,57,FC,54000000,0,1,28,12,999,0,1
10000421,57,TFC,54000000,0,1,36,12,999,0,1
10000422,57,FC,54000000,0,2,45,12,999,0,1
10000423,57,FC,54000000,0,2,52,12,999,0,1
10000424,57,FC,53000000,0,2,55,12,999,0,1
10000425,57,FC,53000000,0,2,56,12,999,0,1
10000426,57,FC,52000000,0,1,23,12,999,0,1
10000427,57,FC,52000000,0,1,26,12,999,0,1
10000428,57,FC,52000000,0,2,33,12,999,0,1
10000429,57,FC,52000000,0,2,33,12,999,0,1
10000430,57,FC,52000000,0,1,37,12,999,0,1
10000431,57,FC,51000000,0,1,15,12,999,0,1
10000432,57,FC,51000000,0,2,47,12,999,0,1
10000433,57,FC,51000000,0,2,57,12,999,0,1
10000434,57,TFC,50000000,0,2,27,12,999,0,1
10000435,57,FC,50000000,0,2,33,12,999,0,1
10000436,57,FC,50000000,0,2,36,12,999,0,1
10000437,57,FC,50000000,0,2,36,12,999,0,1
10000438,57,FC,50000000,0,2,38,12,999,0,1
10000439,57,FC,50000000,0,2,40,12,999,0,1
10000440,57,FC,50000000,0,1,41,12,999,0,1
10000441,57,FC,50000000,0,2,41,12,999,0,1
10000442,57,FC,50000000,0,2,41,12,999,0,1
10000443,57,FC,50000000,0,2,41,12,999,0,1
10000444,57,FC,50000000,0,1,42,12,999,0,1
10000445,57,FC,50000000,0,2,43,12,999,0,1
10000446,57,FC,50000000,0,2,43,12,999,0,1
10000447,57,TFC,50000000,0,2,46,12,999,0,1
10000448,57,FC,50000000,0,1,48,12,999,0,1
10000449,57,FC,50000000,0,2,50,12,999,0,1
10000450,57,FC,50000000,0,1,51,12,999,0,1
10000451,57,FC,50000000,0,1,51,12,999,0,1
10000452,57,AM,50000000,0,2,53,12,999,0,1
10000453,57,FC,50000000,0,1,56,12,999,0,1
10000454,57,FC,50000000,0,1,58,12,999,0,1
10000455,57,FC,49000000,0,1,28,12,999,0,1
10000456,57,FC,49000000,0,1,34,12,999,0,1
10000457,57,FC,49000000,0,2,35,12,999,0,1
10000458,57,FC,49000000,0,1,37,12,999,0,1
10000459,57,FC,48000000,0,1,29,12,999,0,1
10000460,57,FC,48000000,0,1,32,12,999,0,1
10000461,57,FC,47000000,0,2,37,12,999,0,1
10000462,57,FC,47000000,0,2,52,12,999,0,1
10000463,57,FC,47000000,0,1,53,12,999,0,1
10000464,57,FC,46000000,0,1,30,12,999,0,1
10000465,57,FC,46000000,0,2,34,12,999,0,1
10000466,57,FC,46000000,0,2,34,12,999,0,1
10000467,57,FC,46000000,0,1,45,12,999,0,1
10000468,57,FC,46000000,0,1,54,12,999,0,1
10000469,57,FC,46000000,0,2,54,12,999,0,1
10000470,57,FC,45000000,0,2,15,12,999,0,1
10000471,57,FC,45000000,0,2,15,12,999,0,1
10000472,57,FC,45000000,0,1,32,12,999,0,1
10000473,57,FC,45000000,0,2,38,12,999,0,1
10000474,57,TFC,45000000,0,2,44,12,999,0,1
10000475,57,FC,45000000,0,2,51,12,999,0,1
10000476,57,FC,45000000,0,2,53,12,999,0,1
10000477,57,FC,44000000,0,2,35,12,999,0,1
10000478,57,FC,44000000,0,2,39,12,999,0,1
10000479,57,FC,44000000,0,1,45,12,999,0,1
10000480,57,FC,44000000,0,2,50,12,999,0,1
10000481,57,FC,44000000,0,2,55,12,999,0,1
10000482,57,FC,43000000,0,1,32,12,999,0,1
10000483,57,FC,43000000,0,1,33,12,999,0,1
10000484,57,FC,43000000,0,2,42,12,999,0,1
10000485,57,FC,42000000,0,1,33,12,999,0,1
10000486,57,FC,42000000,0,1,37,12,999,0,1
10000487,57,FC,42000000,0,1,39,12,999,0,1
10000488,57,FC,42000000,0,2,41,12,999,0,1
10000489,57,FC,41000000,0,1,34,12,999,0,1
10000490,57,FC,41000000,0,1,40,12,999,0,1
10000491,57,TFC,41000000,0,2,42,12,999,0,1
10000492,57,FC,41000000,0,1,58,12,999,0,1
10000493,57,FC,40000000,0,1,18,12,999,0,1
10000494,57,FC,40000000,0,1,23,12,999,0,1
10000495,57,FC,40000000,0,1,28,12,999,0,1
10000496,57,FC,40000000,0,1,34,12,999,0,1
10000497,57,FC,40000000,0,1,35,12,999,0,1
10000498,57,FC,40000000,0,2,36,12,999,0,1
10000499,57,FC,40000000,0,1,37,12,999,0,1
10000500,57,FC,40000000,0,2,40,12,999,0,1
10000501,57,FC,40000000,0,2,42,12,999,0,1
10000502,57,FC,40000000,0,2,44,12,999,0,1
10000503,57,FC,40000000,0,2,44,12,999,0,1
10000504,57,FC,40000000,0,2,46,12,999,0,1
10000505,57,FC,40000000,0,1,49,12,999,0,1
10000506,57,FC,40000000,0,1,49,12,999,0,1
10000507,57,FC,40000000,0,2,59,12,999,0,1
10000508,57,FC,39000000,0,2,33,12,999,0,1
10000509,57,FC,39000000,0,1,36,12,999,0,1
10000510,57,TFC,38000000,0,2,33,12,999,0,1
10000511,57,FC,38000000,0,1,36,12,999,0,1
10000512,57,FC,38000000,0,1,40,12,999,0,1
